id,title,author,content
1,丈夫和媳妇说，把游戏关了，我们来大战三百回合,一枚老僧,下班回到家，媳妇儿正在坐在电脑前玩LOL，幽暗的灯光下一副岁月静好的样子。我兽性大发扑了过去抱住她的腰:“把游戏关了，我们来大战三百回合吧。”她转过头来看了看我:“来吧，不用关游戏，敌方还有三十秒到达战场～”​朋友出差半年，回到家。媳妇问：诶，老公，我问你个事，要是邻居家种了一棵桃树，结果枝条伸到咱家院子里，还结了桃子，你开心不？朋友就说：开心啊，白捡的便宜，当然开心啊！媳妇松了一口气，说：开心就好，开心就好！​一富翁得了癌症，医生说他最多能活3个月。富翁很难过，问医生是否有好的治疗办法。医生沉吟了一会儿：“把你的奔驰卖了，买一辆旧自行车；和你老婆离婚，找个女酒鬼结婚；把你市中心的房子卖了，到郊区买一套破房子。”“那我就能多活几年啦?”富翁急切的问。医生：“不能。你会有度日如年的感觉。“​今天我就问老婆：挨～我说老婆，你长那么漂亮为什么会选择嫁给我。老婆说：你记得三年前，你给了一个糟老头子十块钱么？那糟老头子拿着那十块钱去彩票店买了张彩票，中了一等奖。他先去了泰国再去了韩国，最后回来找到了你。
2,90后女孩曝光群租房内日常：我为什么劝你一定要多赚钱？,精读君,今天是精读君陪伴你终身成长的第2352天1认识一个邻居姐姐，她是我见过最“佛系”的人。大学毕业那年，成绩优异的她原来有机会进入某知名企业，干出一番事业。但她却选择了一份事少离家近的工作。许多人觉得她可惜，明明可以大干一场，如今却只守着一份不痛不痒的工作。然而，姐姐却从不这么认为。记得有次在家楼下的超市碰到她，她在水果柜面前认认真真地挑选着果子。看我翻来覆去也没挑着几个满意的，她还细心地传授了我一些小技巧。一边挑，一边说：我就喜欢这样充满烟火气的生活。闲聊中，她还告诉我：在她眼里，有一份稳定的工作，够应付生活的钱，这就是最好的生活。那一刻，我大概了解了邻居姐姐这些年的执着。我一直以为，姐姐就是这样一个对钱佛系的人，直到前阵子在楼下取东西时撞见她。她穿着家居服，神情有些疲惫，头发也不像打理过的样子，完全不同于她往日的风格。我照例跟她寒暄了几句，问她是不是疫情宅家呆不住了。不料，她眼里却流下了几滴眼泪，哽咽地说：没钱的日子太难了。说完，她抹着眼泪，连声道歉说她失态了，然后就走开了。后来，我才听说，这阵子她亲人生了病，需要很多钱。有位作家写道：虽说钱是万恶之源，但不得不承认，有了钱，才能保障我
3,自悟,仙人掌刺扎脚趾缝里,1、从小我妈就告诉我：无论去哪里见朋友，都要带礼物，哪怕他很有钱，什么都不缺。2、和女朋友一起玩，很多人只知道一条路，其实三条路都是通的。3、男女之间互相合作才能共赢，一方出力总是很辛苦，4、发脾气的目的是让对方知道你不开心，而不是搞得大家都不开心。你不生气，但可以让别人知道你生气了。5、主动介绍身边的人给对方认识，这是常识，不然对方会默认为你不重视他。6、交谈过程中，如果对方的脚尖并没有指向你所在的方向，或者对方长时间没有关注过你的面部，说明对方想要尽快结束交流。7、记得为女士和长辈开车门。其实这是个很随意的动作，并不算太正式。记得开门的时候把一只手放到上面护住头部，防止对方撞到。8、正面拒绝是对双方的一种尊重。不要模棱两可，也不需要找理由搪塞。怕就怕碍于面子应承下来，最后自己搞得一团糟。9、主动夸奖别人会让你很有幸福感，就像在看到了一个不错的回答并且主动点赞的人，生活中一般都比较透彻。10、朋友就是用来解决问题的。如果你坚持不想去麻烦对方，那对方也不敢把你当成朋友。11、被别人安利或者分享喜欢的人、歌、事、物是很正常的事。就算你不喜欢，也不要抬杠甚至诋毁别人的喜好。12、多赚钱一定
4,李嘉欣与8岁儿子共浴，当亲情越过界限，对孩子更多的是“伤害”,灵双儿,父母永远都是孩子最亲近的人，特别是妈妈从怀孕到生孩子这个过程，她们给了孩子生命，同时也时刻守护着孩子们的成长。绝大多数情况下，妈妈和孩子都是最亲密无间的，从宝宝小时候给他喂奶，到孩子大一点给他洗澡，孩子的吃喝拉撒都是妈妈在照料。但是再亲密的关系也要随着孩子长大而慢慢改变，自古就有“男女有别”一说，所以如果妈妈真的对孩子好，就应该在适当的时候懂得回避，给孩子一些个人空间。大家都知道“儿大避母，女大避父”，但是现实中有很多父母却无法做到这一点，他们对孩子的爱早已经越界，反而变成了一种伤害。李嘉欣曾被网友们评为“最美港姐”，所以她的人气一直都很高，而且她也经常会分享自己和孩子之间的照片，虽然自己的儿子已经8岁了，但是她丝毫没有对孩子有任何回避，还会专门和孩子一起洗澡，有时候也会嘴对嘴亲吻。这种做法让很多网友都大跌眼镜，作为一个母亲，在孩子8岁的时候早就应该避嫌了，换衣服都要关上门，何况与儿子共浴呢！这件事情也很快引起了大家的议论，父母和孩子之间到底应该保持哪种界限呢？如果亲情越界了，对孩子又会带来什么危害？其实不止是李嘉欣如此，类似的事情还有很多，不少父母都没有意识到自己和孩子之间需要有底线
5,一个人是否值得交往，看这四点就够了,一气浩然,有人说：“不必把太多人请进生命里，若他们走进不了你的内心，就只会把你的生命搅扰得拥挤不堪。”朋友不必多，贵在能知心。珍贵的情谊，要留给最值得结交的人。一个人是否值得交往，看这四点就够了。前同事李平拉另一位同事阿忠合伙创业时，阿忠坚决拒绝了，理由是李平趁妻子给儿子做陪读时出轨，人品不可信。当时，我们挺为阿忠惋惜的，毕竟李平人脉广资源多，这样的合作伙伴可遇不可求。果然，没过几年，就曝出李平背着搭档拿回扣的丑闻。待我自己成家后，我才理解了阿忠的交友哲学。一个人值不值得交往，真的要看他对家人的态度。对家庭没有敬畏心的人，是极端自私的人。如果把家人摆在一个微不足道的位置，证明他早已对伴侣的付出习以为常，也会认为别人对自己的付出是理所当然的。你对他好，他觉得是应该的；你对他没有奉献，他便觉得是你对他的亏欠。他们眼里往往只有自己。而一个时刻把家人放在心里的人，会有更强的责任感。与这样的人交往，不用担心他会背信弃义。朋友小慧是个斜杠青年，平时很难约出门。她常说，最怕花两三个小时去赴一场无聊的应酬。然而，我生完孩子那一年，小慧却三天两头地来我家串门，帮我做家务、陪我聊天。我知道她忙，便跟她说不用跑这么勤
6,我睡上了那个三十几岁女人的床,苏羽Loner,前阵子东冉村拆迁，被迫搬家，打听到车道沟地铁站附近有两排平房，去看了看，环境奇差，却也可以将就，一来急于搬家，二来比较省钱，三呢，离人民出版社那边的公司很近。（1）我将新的住处窝选择在了五号房。刚搬家两天，隔壁的六号房也搬进了人，一男一女，男的看起来比我大不少，女的应该奔四了。那个女人很喜欢穿一件深红色长裙，露出白净的腿——她的全身都很白，尤其脸，甚至素颜也那样白，白得吓人。她的额头刚过我腰部，看起来大概一米五左右，微胖的她笑起来像极了我初中的同桌。他们住进来的第一天晚上就吵了起来，虽然房子紧挨着，但意外的是隔音效果奇好，我听不到他们在吵什么。第二天周六，我睡到十一点才起来，刚出门就发现今天的温度有又飙升到了一个新的记录，热得简直想让我脱光衣服去旁边的河里洗个澡。隔壁的她就坐在自己家门口，利落的短发随微风飘动，有点撩人。我咽了咽口水，从屋子里拿出洗漱用具把毛巾搭在肩上往水房走，路过六号房，背后传来一句“没上班啊”。我侧身看了一眼，她正在看我，旁边没有别人，我礼貌性地笑了笑:“对啊，周末嘛。你呢？”她起身，拍了拍屁股:“嗯啊，我男朋友白天出去上班，我就一个人在这待着，晚上我去街边摆地摊卖
7,骗子，离我远点，我不想继续受到伤害,弄堂里的肉团猫,我家庭虽然说不上那种大富大贵，但是在同宿舍比起来还算好的，妈妈开旅游公司，爸爸是一个大厂子里做一个小领班一个月爸爸挣两万，在外面还有工作，我在学校没事干的时候炒股，也有不少的钱。九月份开学就是大一了，爸妈把我安顿好就回去了，由于我高考没发挥好，就来到了一所三本，准备考研弥补遗憾。军训完后就正式开始上课了，某一天中午我在午休，妈妈着急的给我打电话，说是我让她打学费了，她问我是不是换了卡号了，我说:没有。这个时候才意识到妈妈是被骗钱了。具体原因是妈妈上班也着急，平时对于我花钱交学费的事情也很开明。我说多少钱就给多少，这次骗子假装成我一下子要了2.8万，说是计算机考试，交了学费包清华研究生。那个人说:你加我一下QQ，我妈二话不说就加了，加了以后那个人冒充我，叫我妈，叫妈妈，一口一个的，我妈也没太在意，就让那个人发了卡号，打了钱。打了钱以后骗子估计觉得我妈好骗，就还要一万多，我妈还好在给了2.8万以后给我打电话了。这件事我妈一直耿耿于怀，我爸也不让我在提起，据我爸说这钱没有追回来，我也不知道为啥，反正我爸不让过问。这件事我宿舍人知道后的第一反应酒店，你家好有钱，2.8万一下拿出来了。有的说:你
8,2018-11-30,羞羞哒007,比特币|怎么挖出来的呢?|乌托市场近些年来，有很多人开始关注比特币的。尤其是一些中国人的大妈想要购买比特币来作为理财投资的产品。不过比特币就是一种具有投资价值的理财产品。这几年比特币的价格也上涨了不少。但对于比特币到底是何方神圣却知之甚少。网络上虽然有众多关于比特币的科普文章，但如果没有相关金融知识，也很难理解比特币的真实意义。如果你现在也在关注比特币的话，那么我们的文章内容就可以为大家带来最好的帮助。对于对数人来说是不知道比特币究竟是如何挖出来的呢？比特币之父中本聪于2009年提出去中心化概念，也就是说将货币发行在开源软件以及建构其上的P2P网络，打造一个去中心化的支付系统。比特币自发行后，理论上没有任何人可以控制比特币数量，也无法通过大量制造比特币来人为操控币值。基于密码学的设计可以使比特币只能被真实的拥有者转移或支付，安全性极佳。我们在了解比特币是如何产生出来的时候，就要了解一下“区块链”，比特币的核心原理是“区块链”，每一个区块对应一个帐单，将所有的区块链接起来就是区块链，任何交易信息和转账记录都记录在区块链中。要注意的是区块链存在于整个互联网中，所以任何比特币持有者都不担心比
9,灯,ycaty,屋里的灯烂了，愁，我愁怎么修，这么高，不在我能力范围内，特别无助……需要一个男人。
10,为母亲过生日,鲍海祥,自从二宝生下来自今快一年了，父母一直住在我们身边帮忙照看两个孩子。我能够在外面安心的做自己的工作也是多亏了他们。这天晚上回家，妻子和父母商量了着这么长时间没有回老家了。想趁着为时不多秋日暖阳回趟老家，带着小宝住上几日，把家里的被褥家具好好的翻晒整理一番。而且还有一位年过六旬的孤寡老人驼爹爹，也得回去看看。正好小宝快周岁了，长的也算硬朗，现在也好带一些。人都是有一种故乡情结的，况且是半辈子都在黄土地里摸爬滚打的他们了。合理的安排了一下时间和相关事宜，这事也就这么定下来了。这天早上我和妻子开车到街上张罗了一些水果、面包带上。寻思着给乡亲们带点礼品，就像以前庄上的劳力外出打工回家总会带点糖果、水果给大伙发发一样。这次就算是给小宝提前过周岁生日了。一切准备就绪就驱车直奔罗塘老家。老家距离枞阳县城大约三四十分钟的车程，没过一会就到家了。由于出发的较晚，回到老家都快十二点了。老娘忙着整理炉灶，准备做饭。我和妻子带着孩子到处走走看看，秋天的家乡竟然看不出一丝颓废。鸡冠花艳红似火，山间野菊金黄吐蕊，南瓜花在深秋里努力盛开，扁豆花的紫郁在阳光下更显高贵.......那些熟悉而陌生的花，红的、黄的、紫的.
